Vowel,F1,F2,F3
DK, 232.49251526064543, 2398.268130052172, 3071.3088047540855 
DK, 374.35233512402766, 2071.299035542796, 2495.719224865188 
DK, 541.4531052188288, 1807.077300458448, 2423.945435015379 
DK, 766.4105265871123, 1373.837589460777, 2671.4893385192695 
DK, 642.3951864960651, 880.4845489966037, 2634.978882392951 
DK, 447.5441758195935, 830.5092506562999, 2832.9818854856308 
DK, 374.35104039054215, 742.2710320840324, 2817.733388108638 
DK, 280.15453417969024, 610.6730027894921, 2891.9912093505022 
UK, 267.73746282023234, 2482.9213221243185, 3121.4824917665387 
UK, 372.9779711442904, 2376.904016774541, 2765.8045220285903 
UK, 717.5307235081425, 1954.3327244346124,2717.74369
UK, 913.2269920842509, 1426.5212273969307, 2017.5714308897284 
UK, 676.7239682923654, 957.8317618559536, 2991.4432832576576 
UK, 548.7452917605467, 758.8361569961496, 2939.513815319693 
UK, 366.64886380518453, 732.8641430176345, 2861.365391495389 
UK, 334.39154398086345, 536.0524431767375, 2669.6102335347978 
