Language,Vowel,F1,F2,F3,Speaker
BE,1.wav,258.6155195,2202.613599,3362.927236,1
BE,2.wav,355.6174987,2082.0396,2949.96783,1
BE,3.wav,489.8869576,1912.026845,2698.226652,1
BE,4.wav,626.668089,1764.347484,2438.087258,1
BE,5.wav,564.6945101,843.9489437,2522.263304,1
BE,6.wav,410.8701808,2859.749147,3415.833611,1
BE,7.wav,276.1470665,1562.224348,2507.120349,1
BE,8.wav,227.9832222,1917.582053,3316.985762,1
AM,1.wav,261.2007845,2288.110639,2931.558194,2
AM,2.wav,350.2782928,2142.57056,2751.998414,2
AM,3.wav,366.3343755,1898.194945,2403.87257,2
AM,4.wav,480.0140674,1785.854361,2108.482967,2
AM,5.wav,549.290704,1142.037308,2567.276879,2
AM,6.wav,517.9357926,995.6177637,2654.446813,2
AM,7.wav,337.7588972,1297.486921,2367.774289,2
AM,8.wav,300.3513005,1233.67647,2653.988233,2
AM,1.wav,236.679212,2960.147699,3606.265784,3
AM,2.wav,649.9932482,2127.278383,2911.242628,3
AM,3.wav,772.489222,1704.753953,2369.380373,3
AM,4.wav,1146.097394,1858.585111,2676.769938,3
AM,5.wav,1026.374536,1125.118014,2918.874482,3
AM,6.wav,773.0310901,1046.751861,3039.963938,3
AM,7.wav,521.8885318,1430.368106,2808.155444,3
AM,8.wav,284.3186554,1179.929476,3037.531056,3
