Language,Vowel,F1,F2,F3,Speaker
BrEng,1.wav,258.6155195,2202.613599,3362.927236,1
BrEng,2.wav,355.6174987,2082.0396,2949.96783,1
BrEng,3.wav,489.8869576,1912.026845,2698.226652,1
BrEng,4.wav,626.668089,1764.347484,2438.087258,1
BrEng,5.wav,564.6945101,843.9489437,2522.263304,1
BrEng,6.wav,410.8701808,2859.749147,3415.833611,1
BrEng,7.wav,276.1470665,1562.224348,2507.120349,1
BrEng,8.wav,227.9832222,1917.582053,3316.985762,1
AmEng,1.wav,261.2007845,2288.110639,2931.558194,2
AmEng,2.wav,350.2782928,2142.57056,2751.998414,2
AmEng,3.wav,366.3343755,1898.194945,2403.87257,2
AmEng,4.wav,480.0140674,1785.854361,2108.482967,2
AmEng,5.wav,549.290704,1142.037308,2567.276879,2
AmEng,6.wav,517.9357926,995.6177637,2654.446813,2
AmEng,7.wav,337.7588972,1297.486921,2367.774289,2
AmEng,8.wav,300.3513005,1233.67647,2653.988233,2
AmEng,1.wav,236.679212,2960.147699,3606.265784,3
AmEng,2.wav,649.9932482,2127.278383,2911.242628,3
AmEng,3.wav,772.489222,1704.753953,2369.380373,3
AmEng,4.wav,1146.097394,1858.585111,2676.769938,3
AmEng,5.wav,1026.374536,1125.118014,2918.874482,3
AmEng,6.wav,773.0310901,1046.751861,3039.963938,3
AmEng,7.wav,521.8885318,1430.368106,2808.155444,3
AmEng,8.wav,284.3186554,1179.929476,3037.531056,3
SAEng,1.wav,321.92036,2205.57001,3169.05683,4
SAEng,2.wav,422.27832,1973.60498,2537.74508,4
SAEng,3.wav,485.274445,1945.936,2565.33036,4
SAEng,4.wav,649.263451,1740.23931,2367.29193,4
SAEng,5.wav,582.161301,901.735443,2666.74181,4
SAEng,6.wav,425.281269,621.365655,2812.47213,4
SAEng,7.wav,431.296541,1509.51405,2331.79324,4
SAEng,8.wav,321.448111,1225.0476,1975.30625,4
AuEng,1.wav,336.254012,2098.28267,2650.20365,5
AuEng,2.wav,297.290808,2258.77001,3147.02686,5
AuEng,3.wav,401.507497,1781.58665,2380.43076,5
AuEng,4.wav,583.01849,1623.68878,2360.91449,5
AuEng,5.wav,540.175979,974.941961,2952.60504,5
AuEng,6.wav,381.775973,673.158741,2714.6899,5
AuEng,7.wav,345.710535,694.372179,2512.6682,5
AuEng,8.wav,267.297382,1372.56686,2110.46957,5
AuEng,1.wav,472.0929375,2039.888106,2827.918267,6
AuEng,2.wav,406.4418528,2084.003033,2930.815011,6
AuEng,3.wav,583.7445169,1926.66056,2675.004981,6
AuEng,4.wav,690.112819,1702.913975,2442.417423,6
AuEng,5.wav,678.3139938,1098.411067,2619.348485,6
AuEng,6.wav,466.0035464,665.5680126,2589.142778,6
AuEng,7.wav,478.7342004,1040.082013,2514.008258,6
AuEng,8.wav,355.4078022,1730.194175,2128.235715,6
